State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured
1,1,Autauga,Alabama,AL,29,27.8,78.6,24.5,29.1,26.6,14.2,5690.0
1,3,Baldwin,Alabama,AL,16,27.2,76.2,23.6,30.5,24.6,7.2,19798.0
1,5,Barbour,Alabama,AL,51,26.50838621940164,78.92316176470604,25.6,26.48094612352162,17.7,6.6,5126.0
1,7,Bibb,Alabama,AL,42,26.50838621940164,86.6,24.145188848920824,26.48094612352162,23.112880458756088,13.1,3315.0
1,9,Blount,Alabama,AL,28,33.5,74.6,24.2,26.48094612352162,23.6,8.4,8131.0
1,11,Bullock,Alabama,AL,75,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,2295.0
1,13,Butler,Alabama,AL,76,24.5,78.92316176470604,22.0,26.48094612352162,27.3,9.5,4055.0
1,15,Calhoun,Alabama,AL,6,29.2,81.9,27.0,33.2,25.5,11.2,16456.0
1,17,Chambers,Alabama,AL,50,34.7,84.6,24.145188848920824,26.48094612352162,11.7,17.1,5533.0
1,19,Cherokee,Alabama,AL,64,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.6,13.3,3583.0
1,21,Chilton,Alabama,AL,32,30.3,82.8,31.2,26.5,30.0,6.0,6130.0
1,23,Choctaw,Alabama,AL,66,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,17.1,13.5,2677.0
1,25,Clarke,Alabama,AL,51,31.5,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,15.8,4593.0
1,27,Clay,Alabama,AL,63,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.9,12.2,2320.0
1,29,Cleburne,Alabama,AL,41,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,10.5,2107.0
1,31,Coffee,Alabama,AL,32,23.3,78.92316176470604,25.5,31.3,23.0,10.3,6764.0
1,33,Colbert,Alabama,AL,21,30.2,76.9,30.1,26.48094612352162,21.7,13.6,8141.0
1,35,Conecuh,Alabama,AL,75,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,12.3,8.2,2657.0
1,37,Coosa,Alabama,AL,41,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,15.0,2028.0
1,39,Covington,Alabama,AL,35,28.8,78.92316176470604,30.2,26.48094612352162,27.8,12.1,6094.0
1,41,Crenshaw,Alabama,AL,71,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.810187568959173,2504.0
1,43,Cullman,Alabama,AL,21,29.4,76.2,22.2,35.0,27.6,10.0,11912.0
1,45,Dale,Alabama,AL,33,30.4,79.5,25.0,26.48094612352162,29.3,12.1,7831.0
1,47,Dallas,Alabama,AL,52,31.5,85.9,36.6,26.48094612352162,20.4,11.5,9242.0
1,49,DeKalb,Alabama,AL,24,37.0,80.7,24.3,35.3,19.1,7.8,12260.0
1,51,Elmore,Alabama,AL,19,27.7,85.0,24.8,23.0,22.6,5.5,8320.0
1,53,Escambia,Alabama,AL,51,34.3,87.1,33.7,26.48094612352162,26.1,11.4,6490.0
1,55,Etowah,Alabama,AL,6,34.1,81.4,27.1,38.2,31.5,10.2,16180.0
1,57,Fayette,Alabama,AL,63,26.50838621940164,78.92316176470604,32.7,26.48094612352162,21.2,12.7,2358.0
1,59,Franklin,Alabama,AL,49,28.9,85.5,24.145188848920824,26.48094612352162,23.112880458756088,7.2,5977.0
1,61,Geneva,Alabama,AL,64,26.50838621940164,78.92316176470604,34.5,26.48094612352162,23.112880458756088,9.4,4759.0
1,63,Greene,Alabama,AL,75,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,7.1,2384.0
1,65,Hale,Alabama,AL,76,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,5.2,3422.0
1,67,Henry,Alabama,AL,63,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,8.0,2556.0
1,69,Houston,Alabama,AL,23,32.9,77.7,29.5,34.0,25.0,8.8,14235.0
1,71,Jackson,Alabama,AL,22,34.0,82.3,29.4,29.2,37.0,6.1,7294.0
1,73,Jefferson,Alabama,AL,3,29.0,79.1,27.1,31.9,23.4,9.7,87428.0
1,75,Lamar,Alabama,AL,63,26.50838621940164,78.92316176470604,24.145188848920824,26.48094612352162,23.112880458756088,3.2,2237.0
