State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured
1,1,Autauga,Alabama,AL,29,27.8,78.6,24.5,29.1,26.6,14.2,5690
1,3,Baldwin,Alabama,AL,16,27.2,76.2,23.6,30.5,24.6,7.2,19798
1,5,Barbour,Alabama,AL,51,29.794999999999995,80.08,25.6,31.600000000000005,17.7,6.6,5126
1,7,Bibb,Alabama,AL,42,29.794999999999995,86.6,26.897560975609753,31.600000000000005,23.822916666666675,13.1,3315
1,9,Blount,Alabama,AL,28,33.5,74.6,24.2,31.600000000000005,23.6,8.4,8131
1,11,Bullock,Alabama,AL,75,29.794999999999995,80.08,26.897560975609753,31.600000000000005,23.822916666666675,9.6515625,2295
1,13,Butler,Alabama,AL,76,24.5,80.08,22.0,31.600000000000005,27.3,9.5,4055
1,15,Calhoun,Alabama,AL,6,29.2,81.9,27.0,33.2,25.5,11.2,16456
1,17,Chambers,Alabama,AL,50,34.7,84.6,26.897560975609753,31.600000000000005,11.7,17.1,5533
1,19,Cherokee,Alabama,AL,64,29.794999999999995,80.08,26.897560975609753,31.600000000000005,23.6,13.3,3583
1,21,Chilton,Alabama,AL,32,30.3,82.8,31.2,26.5,30.0,6.0,6130
1,23,Choctaw,Alabama,AL,66,29.794999999999995,80.08,26.897560975609753,31.600000000000005,17.1,13.5,2677
1,25,Clarke,Alabama,AL,51,31.5,80.08,26.897560975609753,31.600000000000005,23.822916666666675,15.8,4593
1,27,Clay,Alabama,AL,63,29.794999999999995,80.08,26.897560975609753,31.600000000000005,23.9,12.2,2320
1,29,Cleburne,Alabama,AL,41,29.794999999999995,80.08,26.897560975609753,31.600000000000005,23.822916666666675,10.5,2107
1,31,Coffee,Alabama,AL,32,23.3,80.08,25.5,31.3,23.0,10.3,6764
1,33,Colbert,Alabama,AL,21,30.2,76.9,30.1,31.600000000000005,21.7,13.6,8141
1,35,Conecuh,Alabama,AL,75,29.794999999999995,80.08,26.897560975609753,31.600000000000005,12.3,8.2,2657
1,37,Coosa,Alabama,AL,41,29.794999999999995,80.08,26.897560975609753,31.600000000000005,23.822916666666675,15.0,2028
1,39,Covington,Alabama,AL,35,28.8,80.08,30.2,31.600000000000005,27.8,12.1,6094
1,41,Crenshaw,Alabama,AL,71,29.794999999999995,80.08,26.897560975609753,31.600000000000005,23.822916666666675,9.6515625,2504
1,43,Cullman,Alabama,AL,21,29.4,76.2,22.2,35.0,27.6,10.0,11912
1,45,Dale,Alabama,AL,33,30.4,79.5,25.0,31.600000000000005,29.3,12.1,7831
1,47,Dallas,Alabama,AL,52,31.5,85.9,36.6,31.600000000000005,20.4,11.5,9242
1,49,DeKalb,Alabama,AL,24,37.0,80.7,24.3,35.3,19.1,7.8,12260
1,51,Elmore,Alabama,AL,19,27.7,85.0,24.8,23.0,22.6,5.5,8320
1,53,Escambia,Alabama,AL,51,34.3,87.1,33.7,31.600000000000005,26.1,11.4,6490
1,55,Etowah,Alabama,AL,6,34.1,81.4,27.1,38.2,31.5,10.2,16180
1,57,Fayette,Alabama,AL,63,29.794999999999995,80.08,32.7,31.600000000000005,21.2,12.7,2358
1,59,Franklin,Alabama,AL,49,28.9,85.5,26.897560975609753,31.600000000000005,23.822916666666675,7.2,5977
1,61,Geneva,Alabama,AL,64,29.794999999999995,80.08,34.5,31.600000000000005,23.822916666666675,9.4,4759
1,63,Greene,Alabama,AL,75,29.794999999999995,80.08,26.897560975609753,31.600000000000005,23.822916666666675,7.1,2384
1,65,Hale,Alabama,AL,76,29.794999999999995,80.08,26.897560975609753,31.600000000000005,23.822916666666675,5.2,3422
1,67,Henry,Alabama,AL,63,29.794999999999995,80.08,26.897560975609753,31.600000000000005,23.822916666666675,8.0,2556
1,69,Houston,Alabama,AL,23,32.9,77.7,29.5,34.0,25.0,8.8,14235
1,71,Jackson,Alabama,AL,22,34.0,82.3,29.4,29.2,37.0,6.1,7294
1,73,Jefferson,Alabama,AL,3,29.0,79.1,27.1,31.9,23.4,9.7,87428
1,75,Lamar,Alabama,AL,63,29.794999999999995,80.08,26.897560975609753,31.600000000000005,23.822916666666675,3.2,2237
1,77,Lauderdale,Alabama,AL,21,25.8,77.1,23.8,34.7,21.1,6.7,11424
1,79,Lawrence,Alabama,AL,32,31.9,85.2,19.9,31.600000000000005,28.5,9.2,5396
1,81,Lee,Alabama,AL,22,25.9,74.9,21.7,24.5,27.1,7.8,17335
1,83,Limestone,Alabama,AL,19,30.4,79.5,26.0,31.600000000000005,25.0,8.1,8934
1,85,Lowndes,Alabama,AL,66,29.794999999999995,80.08,26.897560975609753,31.600000000000005,23.822916666666675,9.6,2951
1,87,Macon,Alabama,AL,44,29.794999999999995,80.08,26.897560975609753,31.600000000000005,15.7,13.6,4325
1,89,Madison,Alabama,AL,4,22.9,75.6,23.1,24.9,21.3,6.5,35743
1,91,Marengo,Alabama,AL,67,29.794999999999995,80.08,26.897560975609753,31.600000000000005,15.6,11.3,4074
1,93,Marion,Alabama,AL,49,29.794999999999995,84.8,30.9,31.600000000000005,23.822916666666675,10.1,5205
1,95,Marshall,Alabama,AL,22,34.8,82.1,27.5,36.8,31.6,7.2,14593
1,97,Mobile,Alabama,AL,5,30.8,76.2,26.6,27.2,25.1,6.6,65687
1,99,Monroe,Alabama,AL,67,29.794999999999995,80.08,26.897560975609753,31.600000000000005,23.822916666666675,8.1,4269
1,101,Montgomery,Alabama,AL,7,28.2,75.6,23.9,27.8,20.7,8.5,32259
1,103,Morgan,Alabama,AL,14,23.4,74.5,22.5,32.7,28.9,6.7,16097
1,105,Perry,Alabama,AL,75,29.794999999999995,80.08,26.897560975609753,31.600000000000005,23.822916666666675,9.6515625,2776
1,107,Pickens,Alabama,AL,76,29.794999999999995,80.08,26.897560975609753,31.600000000000005,15.2,12.8,3606
1,109,Pike,Alabama,AL,35,24.2,80.08,29.1,31.600000000000005,16.5,11.3,5696
1,111,Randolph,Alabama,AL,72,35.2,80.08,26.897560975609753,31.600000000000005,22.1,8.1,3575
1,113,Russell,Alabama,AL,8,32.8,80.08,28.9,31.600000000000005,22.0,9.7,8785
1,115,St. Clair,Alabama,AL,22,28.2,79.7,27.6,39.0,28.5,13.0,8534
1,117,Shelby,Alabama,AL,11,18.9,78.3,20.8,26.7,21.0,4.8,13249
1,119,Sumter,Alabama,AL,66,29.794999999999995,80.08,26.897560975609753,31.600000000000005,23.822916666666675,11.8,3465
1,121,Talladega,Alabama,AL,8,34.1,79.1,32.7,42.2,24.1,10.9,12378
1,123,Tallapoosa,Alabama,AL,49,32.1,79.3,23.2,31.600000000000005,29.4,5.6,6488
1,125,Tuscaloosa,Alabama,AL,6,27.1,79.0,25.3,29.7,23.8,7.9,23311
1,127,Walker,Alabama,AL,24,34.9,79.3,30.5,35.0,33.8,11.5,10818
1,129,Washington,Alabama,AL,66,29.794999999999995,80.08,26.897560975609753,31.600000000000005,23.822916666666675,10.5,3037
1,131,Wilcox,Alabama,AL,75,29.794999999999995,80.08,26.897560975609753,31.600000000000005,23.822916666666675,7.6,2960
1,133,Winston,Alabama,AL,41,29.794999999999995,80.08,28.0,31.600000000000005,26.9,8.5,4592
4,1,Apache,Arizona,AZ,77,22.6,64.6,24.6,18.4,14.3,7.5,17218
4,3,Cochise,Arizona,AZ,7,22.8,72.7,23.8,26.0,20.2,9.1,23944
4,5,Coconino,Arizona,AZ,77,14.8,71.0,16.5,17.2,19.6,4.2,22678
4,7,Gila,Arizona,AZ,36,32.7,74.2,24.5,34.5,25.6,8.8,10361
4,9,Graham,Arizona,AZ,51,25.8,79.4,23.8,24.9,16.1,10.9,6343
4,11,Greenlee,Arizona,AZ,78,25.357142857142854,73.36428571428571,22.378571428571426,25.223076923076924,19.978571428571428,5.0,1082
4,12,La Paz,Arizona,AZ,88,26.6,83.4,22.0,25.223076923076924,18.1,8.3,4885
4,13,Maricopa,Arizona,AZ,1,23.3,74.7,19.9,21.4,19.9,6.3,537647
4,15,Mohave,Arizona,AZ,6,27.9,77.6,25.0,30.6,29.4,7.5,31916
4,17,Navajo,Arizona,AZ,8,23.7,75.4,25.1,27.1,19.8,8.8,22206
4,19,Pima,Arizona,AZ,3,20.9,70.7,19.7,23.8,18.7,6.6,149746
4,21,Pinal,Arizona,AZ,7,26.9,73.8,26.7,28.3,21.8,10.6,33439
4,23,Santa Cruz,Arizona,AZ,51,36.9,66.8,20.0,20.4,18.1,7.0,11544
4,25,Yavapai,Arizona,AZ,16,23.4,69.3,16.0,28.5,21.9,5.7,28886
4,27,Yuma,Arizona,AZ,7,26.7,73.5,25.7,26.8,16.2,9.2,45336
5,1,Arkansas,Arkansas,AR,75,35.1,79.3,30.7,28.803124999999998,29.2,7.8,2858
5,3,Ashley,Arkansas,AR,68,35.0,88.8,30.2,28.9,29.7,7.7,3783
5,5,Baxter,Arkansas,AR,50,24.9,71.9,22.7,33.8,25.4,10.2,5191
5,7,Benton,Arkansas,AR,13,22.3,77.4,21.5,25.4,21.4,5.8,22708
5,9,Boone,Arkansas,AR,49,31.4,77.9,23.7,30.4,25.1,6.7,5033
5,11,Bradley,Arkansas,AR,70,30.9,83.9,25.2,28.803124999999998,23.7,8.5,2467
5,13,Calhoun,Arkansas,AR,43,31.264062500000005,80.21016949152543,25.736363636363635,28.803124999999998,26.574626865671643,3.5,846
5,15,Carroll,Arkansas,AR,64,28.7,75.7,21.0,28.803124999999998,28.5,5.1,5529
5,17,Chicot,Arkansas,AR,67,33.5,80.21016949152543,21.9,28.803124999999998,27.4,15.6,3200
5,19,Clark,Arkansas,AR,71,30.0,75.0,20.8,27.3,16.2,6.3,3575
5,21,Clay,Arkansas,AR,63,39.1,76.8,29.7,28.803124999999998,34.6,10.2,2567
5,23,Cleburne,Arkansas,AR,64,29.4,72.7,25.1,34.5,21.9,8.6,3723
5,25,Cleveland,Arkansas,AR,41,31.264062500000005,80.21016949152543,26.8,28.803124999999998,25.2,11.3,1173
5,27,Columbia,Arkansas,AR,35,27.5,84.6,23.8,28.803124999999998,23.2,9.2,3610
5,29,Conway,Arkansas,AR,43,29.9,87.2,26.5,32.7,32.2,4.9,3085
